Season,Dissolved Oxygen (mg/L),Salinity (ppt),pH,Water Temp,Ammonia (mg/L),Disease Type,Symptoms,Disease to Occur,Disease Risk
Winter,7.92,1.28,8.46,25.3,0.03,None,None,Ichthyophthiriasis,Low
Monsoon,5.24,16.98,6.93,33.1,0.07,None,None,None,Low
Winter,6.48,2.67,8.26,28.4,0.05,None,None,Aeromoniasis,Low
Winter,6.36,6.24,7.04,33.9,0.04,Unknown,Reduced Feeding,None,Medium
Winter,5.4,9.83,7.45,22.7,0.1,Unknown,Discoloration,None,Medium
Winter,4.48,28.35,7.07,25.5,0.08,None,None,Hypoxia,Low
Monsoon,5.63,5.91,7.24,24.2,0.09,Unknown,Reduced Feeding,None,Medium
Winter,6.51,1.38,8.33,24,0.05,Unknown,Gasping,None,Medium
Summer,7.05,29.78,7.36,28.5,0.09,None,None,None,Low
Winter,4.95,20.89,6.91,25.7,0.01,None,None,None,Low
Monsoon,4.31,14.57,7.7,31.5,0.06,Parasitic,Reduced Feeding,None,High
Summer,7.3,29.85,7.85,25,0.04,Unknown,Gasping,None,Medium
Monsoon,5.61,0.75,7.5,26.1,0.01,None,None,None,Low
Monsoon,6.86,13.35,8.39,30.2,0.02,Bacterial,Lesions,Columnaris,High
Summer,4.5,26.05,7.89,23.6,0.03,None,None,Columnaris,Low
Monsoon,6.23,34.48,7.73,30.7,0.08,Bacterial,Lesions,None,High
Winter,4.33,10.08,6.89,20.5,0.09,Unknown,Lesions,None,Medium
Summer,4.26,31.01,7.37,22.9,0.08,Unknown,Lesions,Aeromoniasis,Medium
Summer,4.73,27.8,8.49,23.5,0.04,Unknown,Lesions,None,Medium
Monsoon,6.22,4.9,8.48,27.2,0.07,Unknown,Discoloration,None,Medium
Summer,5.55,7.9,7.44,24.4,0.04,Unknown,Discoloration,None,Medium
Summer,5.52,11.08,7.28,20.1,0.1,Unknown,Lesions,None,Medium
Summer,4.04,33.14,6.83,20.2,0.04,Unknown,Lesions,None,Medium
Winter,7.58,29.69,8.07,34.9,0.03,Unknown,Reduced Feeding,Ichthyophthiriasis,Medium
Summer,7.28,5.78,7.43,21.5,0.04,Unknown,Discoloration,Ichthyophthiriasis,Medium
Winter,4.89,4.63,8.5,32.9,0.09,None,None,None,Low
Monsoon,4.85,27.99,8.29,33,0.05,Bacterial,Lesions,None,High
Summer,4.42,21.88,7.78,23.4,0.02,None,None,None,Low
Monsoon,6.92,19.8,7.74,20.2,0.09,Unknown,Lesions,Aeromoniasis,Medium
Monsoon,5.71,19.58,7.29,31.1,0.01,Unknown,Reduced Feeding,Saprolegniasis,Medium
Summer,6.97,31.7,7.82,29,0.08,None,None,Aeromoniasis,Low
Winter,4.44,7.92,8.12,31,0.07,None,None,Ichthyophthiriasis,Low
Summer,7.94,34.59,7.19,21.1,0.04,Unknown,Discoloration,None,Medium
Monsoon,4.11,14.71,7.4,21.3,0.07,Unknown,Lesions,None,Medium
Winter,5.06,8.81,8.2,26.8,0.09,None,None,None,Low
Summer,5.68,4.09,6.57,28.4,0.03,None,None,Ichthyophthiriasis,Low
Monsoon,7.27,33.25,6.95,20.3,0.07,None,None,Saprolegniasis,Low
Monsoon,6.6,33.7,6.61,32.6,0.08,None,None,None,Low
Monsoon,6.32,34.73,7.99,21,0.03,None,None,None,Low
Summer,5.62,1.59,7.4,33.5,0.01,None,None,None,Low
Winter,4.97,34.16,7.07,26.3,0.01,Unknown,Gasping,None,Medium
Winter,5.33,30.9,8.4,32.8,0.01,Bacterial,Lesions,None,High
Winter,4.19,10.27,8.2,25,0.07,None,None,None,Low
Winter,4.02,21.4,8.33,34.6,0.08,None,None,Hypoxia,Low
Summer,4.62,17.92,8.33,34,0.01,Unknown,Discoloration,None,Medium
Winter,7.69,1.23,6.94,24.1,0.07,None,None,Columnaris,Low
Winter,5.06,10.61,8.07,26.7,0.02,None,None,None,Low
Summer,5.4,20.53,7.28,31.6,0.08,None,None,Columnaris,Low
Monsoon,5.96,11.68,6.69,33.9,0.06,None,None,Columnaris,Low
Winter,4.88,11.38,7.48,26.6,0.04,Unknown,Lesions,None,Medium
Summer,5.64,12.79,7.82,30.6,0.1,None,None,Columnaris,Low
Summer,7.24,1.32,8.43,26.9,0.08,None,None,Columnaris,Low
Winter,7.13,11.33,6.92,27.9,0.06,Unknown,Lesions,Ichthyophthiriasis,Medium
Monsoon,7.32,4.46,7.56,29.1,0.05,None,None,None,Low
Winter,6.34,29.97,7.29,34.8,0.03,Bacterial,Lesions,None,High
Winter,7.61,24.87,8.3,25.3,0.07,None,None,None,Low
Monsoon,6.89,7.04,7,26.2,0.09,None,None,None,Low
Summer,5.88,28.57,8.09,33,0.1,Bacterial,Lesions,Hypoxia,High
Summer,6.95,28.67,6.53,21.4,0.09,None,None,Aeromoniasis,Low
Monsoon,5.67,10.73,7.25,24.7,0.03,Unknown,Lesions,None,Medium
Monsoon,4.11,10.47,8.43,34.7,0.05,None,None,None,Low
Winter,6.32,26.89,8.46,32.3,0.04,None,None,None,Low
Summer,7.8,7.27,6.63,26.8,0.08,None,None,None,Low
Summer,5.61,11.94,7.78,22,0.05,Unknown,Gasping,None,Medium
Monsoon,7.6,11.58,7.41,29.2,0.09,Bacterial,Lesions,Ichthyophthiriasis,High
Monsoon,7.32,20.75,7.41,33.7,0.06,Unknown,Reduced Feeding,Aeromoniasis,Medium
Summer,5.68,31.6,7.56,33.2,0.05,Unknown,Gasping,Saprolegniasis,Medium
Monsoon,4.69,20.43,6.89,29.4,0.07,Parasitic,Reduced Feeding,None,High
Summer,6.92,28.6,7.52,21.8,0.06,Unknown,Lesions,Saprolegniasis,Medium
Monsoon,4.55,22.74,6.57,28.5,0.03,None,None,Ichthyophthiriasis,Low
Monsoon,5.11,34.17,6.65,35,0.02,None,None,None,Low
Monsoon,4.26,1.61,6.61,29.1,0.04,None,None,None,Low
Summer,4.91,6.38,6.61,22.7,0.03,Unknown,Lesions,None,Medium
Monsoon,7.67,1.02,7.1,33.2,0.09,Unknown,Reduced Feeding,None,Medium
Winter,5.77,22.17,7.5,30.1,0.04,None,None,Aeromoniasis,Low
Summer,4.45,17.82,8.17,33.4,0.03,None,None,None,Low
Winter,4.34,2.99,6.58,22.3,0.06,Unknown,Lesions,None,Medium
Winter,5.7,24.7,7.04,26.8,0.09,Unknown,,None,Medium
Summer,4.69,2.78,7.68,33.4,0.04,Parasitic,Reduced Feeding,None,High
Summer,5.36,12.35,7.12,22.2,0.09,None,None,None,Low
Winter,4.71,9.71,7.31,23.6,0.04,None,None,None,Low
Monsoon,5.14,0.37,7.45,32.8,0.09,Unknown,Gasping,None,Medium
Monsoon,7.99,0.05,7.33,22.4,0.02,None,None,None,Low
Monsoon,4.87,23.32,7.22,26.9,0.04,Unknown,Discoloration,Saprolegniasis,Medium
Summer,6.15,27.34,8.16,24.4,0.09,None,None,Aeromoniasis,Low
Winter,6.82,9.61,8.27,20.8,0.06,Unknown,Gasping,Ichthyophthiriasis,Medium
Monsoon,5.97,33.8,7.8,27.7,0.05,None,None,Ichthyophthiriasis,Low
Monsoon,6.49,34.49,8.29,22.9,0.09,Unknown,Gasping,None,Medium
Winter,6.56,28.06,8.05,31.9,0.03,Unknown,Discoloration,None,Medium
Winter,4.19,20.47,8.18,24.3,0.07,None,None,Saprolegniasis,Low
Winter,7.13,21.02,7.09,21,0.04,None,None,Saprolegniasis,Low
Winter,7.85,0.5,6.94,29.8,0.08,None,None,None,Low
Monsoon,6.7,26.83,8,29.2,0.09,Unknown,Reduced Feeding,Hypoxia,Medium
Monsoon,5.11,32.29,6.9,26.9,0.09,None,None,None,Low
Monsoon,5.88,29.24,6.94,20.4,0.02,None,None,None,Low
Monsoon,6.03,20.25,7.47,26,0.04,Unknown,Gasping,Ichthyophthiriasis,Medium
Monsoon,5.87,11.18,7.87,26.3,0.05,Unknown,Lesions,Aeromoniasis,Medium
Monsoon,6.51,2.49,6.52,32.1,0.03,Unknown,Reduced Feeding,None,Medium
Summer,5.52,33.76,8.47,25.2,0.09,Unknown,Lesions,None,Medium
Monsoon,4.18,23.29,8.35,31.9,0.09,Bacterial,Lesions,Aeromoniasis,High
Summer,5.06,9.41,6.74,34.5,0.07,Bacterial,Lesions,None,High
Summer,4.66,7.67,7.97,23.5,0.02,None,None,Ichthyophthiriasis,Low
Monsoon,6.51,24.89,8.43,29.8,0.05,None,None,Aeromoniasis,Low
Summer,5.51,12.32,8.35,28.6,0.02,None,None,Saprolegniasis,Low
Monsoon,4.23,6.22,8.44,32.7,0.06,None,None,Ichthyophthiriasis,Low
Winter,5.78,17.76,8.11,33.8,0.03,None,None,Columnaris,Low
Winter,6.88,23.34,8.29,28,0.05,None,None,None,Low
Summer,6.21,23.93,7.22,30.9,0.07,None,None,Ichthyophthiriasis,Low
Winter,7.64,16.44,7.13,34.6,0.07,None,None,Saprolegniasis,Low
Summer,7.64,12.43,7.49,32.9,0.09,Unknown,Reduced Feeding,None,Medium
Summer,6.26,29.1,7,31.9,0.04,Unknown,Gasping,Saprolegniasis,Medium
Summer,6.2,9.65,7.59,34.4,0.03,Bacterial,Lesions,None,High
Summer,7.49,12.85,7.77,26.4,0.09,Unknown,Gasping,None,Medium
Summer,5.2,20.68,6.62,31.7,0.1,Unknown,Reduced Feeding,None,Medium
Monsoon,5.81,16.91,7.98,23,0.07,Unknown,Gasping,None,Medium
Monsoon,7.63,10.96,7.11,25.4,0.03,Unknown,Gasping,Aeromoniasis,Medium
Summer,7.52,28,6.58,27.3,0.07,None,None,Aeromoniasis,Low
Monsoon,5.04,24.54,7.27,26.2,0.05,Unknown,Lesions,None,Medium
Monsoon,4.63,13.07,8.21,23.9,0.03,None,None,None,Low
Winter,7.75,9.75,7.94,24.2,0.05,None,None,None,Low
Winter,7.56,9.06,8.08,28.1,0.1,None,None,Ichthyophthiriasis,Low
Monsoon,7.56,19.81,7.42,23,0.06,None,None,Aeromoniasis,Low
Summer,6.41,3.67,7.21,31.9,0.07,None,None,Hypoxia,Low
Summer,6.14,7.87,7.88,26.8,0.1,Unknown,Lesions,Saprolegniasis,Medium
Summer,4.11,12.47,8.06,33.8,0.03,None,None,None,Low
Monsoon,5.01,23.16,6.66,20.6,0.06,Unknown,Gasping,Ichthyophthiriasis,Medium
Summer,4.33,22.9,8.36,33.2,0.02,Unknown,Discoloration,None,Medium
Winter,4.02,6.1,8.26,21.8,0.03,None,None,Ichthyophthiriasis,Low
Winter,4.16,18.41,7.4,20.6,0.02,None,None,None,Low
Summer,7.45,29.54,6.73,26.2,0.09,None,None,Columnaris,Low
Winter,5.16,9.77,7.32,27.3,0.04,Unknown,Reduced Feeding,None,Medium
Monsoon,4.52,3.61,7.94,26.1,0.01,Unknown,Discoloration,None,Medium
Winter,5.29,11.15,7.36,21,0.05,None,None,None,Low
Winter,6.29,34.43,7.42,20.4,0.04,Unknown,Lesions,Columnaris,Medium
Winter,6.9,8.46,8.43,26,0.09,None,None,None,Low
Winter,6.7,11.33,7.23,30.8,0.04,Bacterial,Lesions,Aeromoniasis,High
Winter,7.05,21.43,7.54,33,0.04,None,None,None,Low
Summer,7.9,27.13,6.78,29.9,0.08,Bacterial,Lesions,None,High
Summer,6.17,31.2,7.43,28.5,0.07,Bacterial,Lesions,Aeromoniasis,High
Winter,5.76,4.69,7.51,27.7,0.06,Unknown,Lesions,Aeromoniasis,Medium
Summer,6.82,19.03,6.79,30.2,0.02,None,None,Aeromoniasis,Low
Monsoon,6.38,34.22,6.78,20.9,0.06,Unknown,Lesions,None,Medium
Summer,5.59,31.24,6.78,20.2,0.09,None,None,Columnaris,Low
Summer,7.17,5.44,6.97,24.4,0.1,Unknown,Gasping,None,Medium
Winter,4.54,,8.18,25.3,0.04,None,None,Aeromoniasis,Low
Summer,6.9,9.22,8.15,27.5,0.08,None,None,Ichthyophthiriasis,Low
Summer,4.7,6.92,7.07,24.4,0.01,None,None,Aeromoniasis,Low
Winter,5.56,16.37,8.34,25.6,0.04,Unknown,Lesions,Saprolegniasis,Medium
Monsoon,4.66,30.04,7.85,22.5,0.08,None,None,None,Low
Summer,7.09,9.02,6.87,22.6,0.01,None,None,Columnaris,Low
Summer,4.8,31.03,6.67,22.4,0.1,None,None,None,Low
Summer,5.4,31.96,7,,0.1,None,None,Aeromoniasis,Low
Winter,5.48,18.53,7.7,23.8,0.04,Unknown,Gasping,Ichthyophthiriasis,Medium
Monsoon,4.1,31.02,7.33,26.5,0.09,Unknown,Lesions,None,Medium
Monsoon,6.31,32.73,7.66,25.3,0.05,Unknown,Gasping,None,Medium
Summer,4.27,14.4,7.56,28.2,0.09,Unknown,Discoloration,Hypoxia,Medium
Monsoon,4.58,5.17,7.22,28.8,0.06,None,None,None,Low
Summer,6.12,17.98,8.09,30.9,,None,None,None,Low
